강의실명
전자관401호
전자관402호
전자관420호
전자관418호
기계관101호
기계관105호
과학관201호
과학관204호
과학관205호
전산실
전산실2
전자관417호
대강당
기계관 301호
기계관 302호
기계관 303호
기계관 304호
기계관 305호
과학관301호
과학관302호
과학관303호
과학관304호
과학관305호
과학관306호
과학관307호
과학관308호
